"Plot","stand.age","Nfixd.m2","Nfixd.m2.se","Nfixd.ha","Nfixd.ha.se","Lit.mass","Lit.mass.se","fix.rt","fix.rt.se"
"BEJ","19",0.257026853310866,0.0503233030922094,2.57026853310866,0.503233030922094,2.9925,0.315661154223503,7.91222702816752e-05,1.1247680560953e-05
"JE","20",0.189644796048954,0.0403030004020888,1.89644796048954,0.403030004020889,2.31625,0.229439826378446,7.19270088094583e-05,1.51220978867055e-05
"LEPP","100",0.282433662417397,0.0477738275537337,2.82433662417397,0.477738275537337,2.3125,0.415011832877776,0.000116967809270774,1.19343803899249e-05
"LEPS","37",0.86525441569133,0.148106977420536,8.6525441569133,1.48106977420536,2.815,0.281577190634672,0.000248479776962258,2.95896743528708e-05
"LSUR","29",0.338875743928012,0.0741610543139475,3.38875743928012,0.741610543139475,2.57125,0.290144283688552,0.00010623893184423,1.74847675274254e-05
