"","core.id","Sample.Tree","plot","core.x","core.y","soil.mass","dry.mass","sample.id","soil.dry.mass.conv","nh.con","no.con","core.id.mrg"
"46","BEJ_T_5.1","BEJ _ 5","BEJ",28.90057568,49.18062417,4.91,3.16446908011,5.1,0.644494721,1483.1435,82.6815,"BEJ _T_ 5.1"
"47","BEJ_T_5.2","BEJ _ 5","BEJ",27.77673737,48.70782433,4.99,3.21602865779,5.2,0.644494721,1316.124,188.28995,"BEJ _T_ 5.2"
"48","BEJ_T_5.3","BEJ _ 5","BEJ",26.58721673,48.97539278,5.09,3.28047812989,5.3,0.644494721,1526.559,262.36345,"BEJ _T_ 5.3"
"49","BEJ_T_6.1","BEJ _ 6","BEJ",23.44110563,52.25293589,5,3.1194384,6.1,0.62388768,1242.5755,157.9627,"BEJ _T_ 6.1"
"50","BEJ_T_6.2","BEJ _ 6","BEJ",23.30755919,49.93433396,5.04,3.1443939072,6.2,0.62388768,2280.6325,122.9004,"BEJ _T_ 6.2"
"51","BEJ_T_6.3","BEJ _ 6","BEJ",23.00330928,51.11500505,5.1,3.181827168,6.3,0.62388768,1778.724,351.6006,"BEJ _T_ 6.3"
"52","BEJ_T_7.1","BEJ _ 7","BEJ",17.70610697,67.10281666,5.14,3.1193164517,7.1,0.606870905,1398.99,39.20355,"BEJ _T_ 7.1"
"53","BEJ_T_7.2","BEJ _ 7","BEJ",16.52680329,67.41232443,4.98,3.0222171069,7.2,0.606870905,1428.5275,79.86345,"BEJ _T_ 7.2"
"54","BEJ_T_7.3","BEJ _ 7","BEJ",18.84597726,67.53553822,5.03,3.05256065215,7.3,0.606870905,2366.0005,126.476,"BEJ _T_ 7.3"
"55","BEJ_T_8.1","BEJ _ 8","BEJ",11.32443673,66.34350254,5.06,2.97519975852,8.1,0.587984142,2401.0625,53.9027,"BEJ _T_ 8.1"
"56","BEJ_T_8.2","BEJ _ 8","BEJ",12.53890934,66.4512454,4.95,2.9105215029,8.2,0.587984142,2043.4675,353.51935,"BEJ _T_ 8.2"
"57","BEJ_T_8.3","BEJ _ 8","BEJ",13.59026653,65.8338312,5.09,2.99283928278,8.3,0.587984142,2099.35,98.86935,"BEJ _T_ 8.3"
"58","BEJ_T_9.1","BEJ _ 9","BEJ",28.59742631,64.86646582,4.96,3.07018058416,9.1,0.618988021,2457.1925,222.4874,"BEJ _T_ 9.1"
"59","BEJ_T_9.2","BEJ _ 9","BEJ",27.40557618,64.60947259,5.1,3.1568389071,9.2,0.618988021,1467.2845,202.5142,"BEJ _T_ 9.2"
"60","BEJ_T_9.3","BEJ _ 9","BEJ",29.41859485,65.76770633,5,3.094940105,9.3,0.618988021,3299.386,206.69265,"BEJ _T_ 9.3"
"61","JE_T_1.1","JE _ 1","JE",29.19790811,59.6187639,5.07,2.80078686108,1.1,0.552423444,2424.7285,0,"JE _T_ 1.1"
"62","JE_T_1.2","JE _ 1","JE",27.57393675,57.9585029,5.02,2.77316568888,1.2,0.552423444,2635.2465,0,"JE _T_ 1.2"
"63","JE_T_1.3","JE _ 1","JE",28.12024714,59.04850161,5.05,2.7897383922,1.3,0.552423444,2530.2975,0,"JE _T_ 1.3"
"64","JE_T_10.1","JE _ 10","JE",21.63671388,99.45086138,5.11,2.77781976661,10.1,0.543604651,1588.165,0,"JE _T_ 10.1"
"65","JE_T_10.2","JE _ 10","JE",20.80285336,101.6184467,5.01,2.72345930151,10.2,0.543604651,1902.71,249.40295,"JE _T_ 10.2"
"66","JE_T_10.3","JE _ 10","JE",21.56664105,100.6680886,5.06,2.75063953406,10.3,0.543604651,2701.1645,443.1303,"JE _T_ 10.3"
"67","JE_T_11.1","JE _ 11","JE",36.83641705,115.0898235,4.96,2.8628736096,11.1,0.57719226,1996.2805,515.38475,"JE _T_ 11.1"
"68","JE_T_11.2","JE _ 11","JE",39.00764673,114.2654988,5.06,2.9205928356,11.2,0.57719226,1898.603,229.5083,"JE _T_ 11.2"
"69","JE_T_11.3","JE _ 11","JE",37.79012328,114.3302206,4.98,2.8744174548,11.3,0.57719226,3951.259,109.99015,"JE _T_ 11.3"
"70","JE_T_12.1","JE _ 12","JE",41.07903946,118.1150104,5.03,3.04233060294,12.1,0.604837098,2353.854,140.45145,"JE _T_ 12.1"
"71","JE_T_12.2","JE _ 12","JE",40.33216558,117.1513032,5.11,3.09071757078,12.2,0.604837098,2618.8905,27.47065,"JE _T_ 12.2"
"72","JE_T_12.3","JE _ 12","JE",41.12759077,119.3332859,5.03,3.04233060294,12.3,0.604837098,2425.1005,140.1291,"JE _T_ 12.3"
"73","JE_T_13.1","JE _ 13","JE",22.89522734,118.9235919,5.07,2.99747681142,13.1,0.591218306,1449.145,36.6539,"JE _T_ 13.1"
"74","JE_T_13.2","JE _ 13","JE",23.98281419,119.4746881,5,2.95609153,13.2,0.591218306,1580.778,266.255,"JE _T_ 13.2"
