"plot","age","nod.bio.gmn","nod.bio.gse.hi","nod.bio.gse.lo","nod.bio","nod.bio.se","nod.num","nod.size","nod.size.se"
"BEJ",19,1.36714304628123,2.05412372596778,0.909916031525573,4.80100833020646,2.40104983350528,79,26.9704594947735,3.40916836086552
"JE",20,1.27798318660342,1.90094601099165,0.859172757036387,3.04582772342115,1.60787846276572,56,38.4424350649351,6.03739767326205
"LEPP",100,0.122684229014438,0.282343696351595,0.0533088581163995,0.513026011872781,0.257639549263819,14,13.4981481481481,1.71251151771381
"LEPS",37,0.377129283902959,0.667257038665694,0.213150987603769,0.713959127526299,0.38688477474618,6,47.85,5.29004135144518
"LSUR",29,1.95580370839722,2.49552678711793,1.53280989229452,2.11054375315768,1.09366271089345,15,94.7385416666667,10.0046913284998
