"plot","age","no","no.se","nh","nh.se","n.tot","n.tot.se","prop.no","prop.no.se"
"BEJ",19,1.27550958457806,0.152784002444978,24.2822879203603,1.27284762127598,25.5577975049383,1.27764659778819,0.0557816626581012,0.00705633709181151
"JE",20,0.973791686198594,0.129854807566364,25.4252036750529,1.15541961347048,26.3989953612515,1.16905603309831,0.0393004724409393,0.00508061141585263
"LEPP",100,1.67938925128974,0.176983127846832,21.3920792180401,1.36441684336926,23.043490278324,1.42176984314765,0.0737729563887832,0.00818524827992429
"LEPS",37,2.88471277379224,0.18524413485536,26.961252848279,2.18684787686258,29.8459656220713,2.27369264693102,0.115446550655074,0.00836717768138083
"LSUR",29,2.61294792000363,0.236019039500078,47.2058694336913,2.17544803875023,49.8188173536949,2.18175182185975,0.0607073907808797,0.00525084785972971
