"plot","age","snf.g.m2.gmn","snf.g.m2.gse.hi","snf.g.m2.gse.lo","snf.g.m2","snf.g.m2.sd","snf.g.m2.se","snf.kg.ha.zln","snf.kg.ha.gmn","snf.kg.ha.gse.hi","snf.kg.ha.gse.lo","snf.kg.ha","snf.kg.ha.sd","snf.kg.ha.se","snf.rate","snf.rate.se"
"BEJ",19,0.301036459774977,0.452305364890049,0.200357893468456,1.05715239894379,4.72880393266854,0.528696352285759,11.337035295597,3.01036459774977,4.52305364890049,2.00357893468456,10.5715239894379,47.2880393266854,5.28696352285759,0.220193827261768,0.0415067992579731
"JE",20,0.549598547710498,0.817504625936278,0.369488506929909,1.30986268905281,6.18470013474077,0.691470496086623,14.1540117247194,5.49598547710498,8.17504625936278,3.69488506929909,13.0986268905281,61.8470013474077,6.91470496086623,0.4300514697468,0.0553590374818011
"LEPP",100,0.0557509007903779,0.128304310427985,0.0242249300009537,0.233132347332409,1.0471783988496,0.117078104219855,12.705796056963,0.557509007903779,1.28304310427985,0.242249300009537,2.33132347332409,10.471783988496,1.17078104219855,0.454425978287862,0.081452926896707
"LEPS",37,0.0969502969811662,0.171534725152922,0.0547956693687348,0.183540638185763,0.889581043716905,0.0994581842623106,2.57471228000613,0.969502969811662,1.71534725152922,0.547956693687348,1.83540638185763,8.89581043716905,0.994581842623106,0.257074433408658,0.0311590948085093
"LSUR",29,0.760466338041921,0.970324429357128,0.595995559627451,0.82063321198852,3.80349743649746,0.425243941012725,8.56376309407166,7.60466338041921,9.70324429357129,5.95995559627451,8.2063321198852,38.0349743649746,4.25243941012725,0.388825491421693,0.0603687020772475
