"plot","BA","fixerBA","nonBA","BAI","fixerBAI","nonBAI","stand.age","fix.den","non.den","fnf.ratio","snf.kg.ha.gmn","snf.kg.ha.gse.hi","snf.kg.ha.gse.lo","snf.kg.ha","snf.kg.ha.sd","snf.kg.ha.se","snf.rate","snf.rate.se","Nfixd.m2","Nfixd.m2.se","Nfixd.ha","Nfixd.ha.se","Lit.mass","Lit.mass.se","fix.rt","fix.rt.se","no","no.se","nh","nh.se","n.tot","n.tot.se","nod.bio.gmn","nod.bio.gse.hi","nod.bio.gse.lo","nod.bio","nod.bio.se","nod.num","nod.size","nod.size.se","BAI.se","fixerBA.se","fixerBAI.se","Ninputs.gmn.tot","Ninputs.gmn.sehi","Ninputs.gmn.selo","Ninputs.amn.tot","Ninputs.amn.totse","Win.p","Win.v"
"BEJ",276912.5978,71961.62763,204950.9702,10884.17341,3239.084128,7645.089284,19,284,643,0.441679626749611,3.01036459774977,4.52305364890049,2.00357893468456,10.5715239894379,47.2880393266854,5.28696352285759,0.220193827261768,0.0415067992579731,0.257026853310866,0.0503233030922094,2.57026853310866,0.503233030922094,2.9925,0.315661154223503,7.91222702816752e-05,1.1247680560953e-05,1.27550958457806,0.152784002444978,24.2822879203603,1.27284762127598,25.5577975049383,1.27764659778819,1.36714304628123,2.05412372596778,0.909916031525573,4.80100833020646,2.40104983350528,79,26.9704594947735,3.40916836086552,785.034865082896,11293.8253817867,425.118895546887,5.58063313085843,7.59655521293125,4.07061443687113,13.1417925225466,5.79019655377969,0.2,1.83355275836632
"JE",204280.68,49570.31084,154710.3692,13573.64376,3187.365659,10386.2781,19,202,845,0.23905325443787,5.49598547710498,8.17504625936278,3.69488506929909,13.0986268905281,61.8470013474077,6.91470496086623,0.4300514697468,0.0553590374818011,0.189644796048954,0.0403030004020888,1.89644796048954,0.403030004020889,2.31625,0.229439826378446,7.19270088094583e-05,1.51220978867055e-05,0.973791686198594,0.129854807566364,25.4252036750529,1.15541961347048,26.3989953612515,1.16905603309831,1.27798318660342,1.90094601099165,0.859172757036387,3.04582772342115,1.60787846276572,56,38.4424350649351,6.03739767326205,1230.92823342612,8585.54200335724,673.282357880818,7.39243343759453,10.4745242238732,5.18830302576774,14.9950748510177,7.31773496488712,0.15,1.63560887164529
"LEPP",315996.9164,98811.12358,217185.7928,4801.602358,1486.915803,3314.686555,100,103,877,0.117445838084379,0.557509007903779,1.28304310427985,0.242249300009537,2.33132347332409,10.471783988496,1.17078104219855,0.454425978287862,0.081452926896707,0.282433662417397,0.0477738275537337,2.82433662417397,0.477738275537337,2.3125,0.415011832877776,0.000116967809270774,1.19343803899249e-05,1.67938925128974,0.176983127846832,21.3920792180401,1.36441684336926,23.043490278324,1.42176984314765,0.122684229014438,0.282343696351595,0.0533088581163995,0.513026011872781,0.257639549263819,14,13.4981481481481,1.71251151771381,1079.19198649772,20075.2905335281,247.459216716902,3.38184563207775,4.58511800399115,2.58884764864617,5.15566009749806,1.64851931773588,0.1125,1.23416994403568
"LEPS",321329.8485,107294.327,214035.5215,12260.25383,3393.391305,8866.862521,37,215,1155,0.186147186147186,0.969502969811662,1.71534725152922,0.547956693687348,1.83540638185763,8.89581043716905,0.994581842623106,0.257074433408658,0.0311590948085093,0.86525441569133,0.148106977420536,8.6525441569133,1.48106977420536,2.815,0.281577190634672,0.000248479776962258,2.95896743528708e-05,2.88471277379224,0.18524413485536,26.961252848279,2.18684787686258,29.8459656220713,2.27369264693102,0.377129283902959,0.667257038665694,0.213150987603769,0.713959127526299,0.38688477474618,6,47.85,5.29004135144518,1105.38180910689,11033.974886859,885.321106094447,9.62204712672496,11.8489611826479,7.71943107639529,10.4879505387709,2.47565161682847,0.075,0.988831102663849
"LSUR",276009.5235,80571.47645,195438.047,9689.582806,4824.104015,4865.47879,29,218,723,0.301521438450899,7.60466338041921,9.70324429357129,5.95995559627451,8.2063321198852,38.0349743649746,4.25243941012725,0.388825491421693,0.0603687020772475,0.338875743928012,0.0741610543139475,3.38875743928012,0.741610543139475,2.57125,0.290144283688552,0.00010623893184423,1.74847675274254e-05,2.61294792000363,0.236019039500078,47.2058694336913,2.17544803875023,49.8188173536949,2.18175182185975,1.95580370839722,2.49552678711793,1.53280989229452,2.11054375315768,1.09366271089345,15,94.7385416666667,10.0046913284998,1777.54486721151,9450.18267692093,1253.02666981245,10.9934208196993,13.8336122759909,8.60710249241516,11.5950895591653,4.99404995326673,0.05,0.384113776307902
